idData;nrOrders;nrPostMen;idOrder;idPostMan;maxLoad;currentLoad;activeOrder;personalGain;distance;goingToPostOfiice;estimatedTime;proposal;decision
118;11;11;11;3;4;0;0;1.5;6.880841599539943;0;24;0.2475;1
119;11;11;11;5;7;0;0;2;8.887414309159439;0;24;0.426;0
120;11;11;11;7;7;0;0;1.8;7.807051282208533;0;24;0.3366;0
121;11;11;11;1;10;0;0;1.3;17.30114403381303;0;24;0.5395;0
122;11;11;12;4;7;3;6;1.1;35.20313368173539;0;12;0.9295;0
123;11;11;12;2;9;0;0;1.4;25.74586949949648;0;12;0.8652000000000001;1
124;11;11;12;6;7;0;0;1.9;25.334051569469203;0;12;1.1552000000000002;0
125;11;11;12;10;7;0;0;2.2;24.70629675675012;0;12;1.3046000000000002;0
126;11;11;12;3;4;1;1;1.5;23.70970773058383;0;12;0.8535000000000001;0
127;11;11;12;11;7;0;0;2.4;25.97848794775308;0;12;1.4951999999999999;0
128;11;11;12;9;7;0;0;1.6;25.53517039729197;0;12;0.9808;0
129;11;11;12;1;10;0;0;1.3;35.57381278652316;0;12;1.1102;0
130;11;11;12;7;7;0;0;1.8;26.079720034918665;0;12;1.1268;0
131;11;11;12;8;7;0;0;1.7;25.153510352250077;0;12;1.0268000000000002;0
132;11;11;12;5;7;0;0;2;27.16008306186957;0;12;1.304;0
133;12;11;13;6;7;0;0;1.9;18.747288206933934;0;72;0.855;0
134;12;11;13;10;7;0;0;2.2;18.11953339421485;0;72;0.9570000000000001;0
135;12;11;13;11;7;0;0;2.4;19.391724585217812;0;72;1.116;0
136;12;11;13;3;4;1;2;1.5;20.509611034715228;0;72;0.738;0
137;12;11;13;8;7;0;0;1.7;18.566746989714808;0;72;0.7582;0
138;12;11;13;5;7;0;0;2;20.573319699334302;0;72;0.988;0
139;12;11;13;9;7;0;0;1.6;18.948407034756702;0;72;0.7280000000000001;0
140;12;11;13;4;7;2;5;1.1;29.011117342225717;0;72;0.7656000000000001;0
141;12;11;13;2;9;0;0;1.4;19.15910613696121;0;72;0.644;1
142;12;11;13;7;7;0;0;1.8;19.492956672383396;0;72;0.8424;0
143;12;11;13;1;10;0;0;1.3;28.987049423987898;0;72;0.9047999999999999;0
144;14;11;14;5;7;0;0;2;16.30499837539897;0;24;0.7819999999999999;0
145;14;11;14;9;7;0;0;1.6;14.68008571082137;0;24;0.5632;0
146;14;11;14;10;7;0;0;2.2;13.851212070279516;0;24;0.7303999999999999;0
147;14;11;14;2;9;1;1;1.4;12.407263896866827;0;24;0.41579999999999995;0
148;14;11;14;1;10;0;0;1.3;24.718728100052562;0;24;0.7709;0
149;14;11;14;3;4;0;1;1.5;13.832972909859782;1;24;0.4335;1
150;14;11;14;6;7;0;0;1.9;14.478966882998598;0;24;0.6592999999999999;0
151;14;11;14;11;7;0;0;2.4;15.123403261282478;0;24;0.8687999999999999;0
152;14;11;14;8;7;0;0;1.7;14.298425665779474;0;24;0.5831;0
153;14;11;14;4;7;2;5;1.1;24.9957455077411;0;24;0.6589;0
154;14;11;14;7;7;0;0;1.8;15.224635348448064;0;24;0.657;0
155;15;11;15;7;7;0;0;1.8;27.034515029129;0;96;1.1682;0
156;15;11;15;9;7;0;0;1.6;26.489965391502306;0;96;1.0175999999999998;1
157;15;11;15;8;7;0;0;1.7;26.108305346460412;0;96;1.0659;0
158;15;11;15;6;7;0;0;1.9;26.288846563679538;0;96;1.1988999999999999;0
159;15;11;15;1;10;0;0;1.3;36.5286077807335;0;96;1.1401000000000001;0
160;15;11;15;4;7;2;5;1.1;37.827854315429754;0;96;0.9988;0
161;15;11;15;10;7;0;0;2.2;25.661091750960455;0;96;1.3552000000000002;0
162;15;11;15;2;9;1;2;1.4;27.447143577547763;0;96;0.9225999999999999;0
163;15;11;15;5;7;0;0;2;28.114878056079906;0;96;1.3499999999999999;0
164;15;11;15;11;7;0;0;2.4;26.933282941963416;0;96;1.5503999999999998;0
165;15;11;15;3;4;1;1;1.5;25.33162214738052;0;96;0.9119999999999999;0
166;15;11;16;10;7;0;0;2.2;22.683599391212077;0;60;1.1968;0
167;15;11;16;11;7;0;0;2.4;23.955790582215037;0;60;1.3776;0
168;15;11;16;3;4;1;2;1.5;25.71579645429881;0;60;0.9255;0
169;15;11;16;8;7;0;0;1.7;23.130812986712034;0;60;0.9435;0
170;15;11;16;1;10;0;0;1.3;33.55111542098512;0;60;1.0465;0
171;15;11;16;6;7;0;0;1.9;23.31135420393116;0;60;1.0621;0
